merk,merk_rasa,kemasan,sajian,berat,kalori,lemak_total,karbohidrat,protein,lemak_jenuh,lemak_trans,ltj_ganda,ltj_tunggal,kolesterol,serat,gula,sodium,kalium
Sarimi,Sarimi Ayam Bawang,bungkus,kuah,75,340,15,46,7,8,0,0,0,0,3,2,900,0
Sarimi,Sarimi Isi 2 Soto,bungkus,kuah,113,520,23,68,10,11,0,0,0,0,11,1,1350,0
Sarimi,Sarimi Baso Sapi,bungkus,kuah,77,360,15,49,7,8,0,0,0,0,5,2,990,0
Sarimi,Sarimi Isi 2 Ayam Bawang,bungkus,kuah,115,510,20,70,13,10,0,0,0,0,3,3,1470,0
Sarimi,Sarimi Isi 2 Baso Sapi,bungkus,kuah,115,510,19,74,13,9,0,0,0,0,3,3,1360,0
Sarimi,Sarimi Isi 2 Tongseng Ayam,bungkus,goreng,120,560,23,76,11,11,0,0,0,0,6,5,1340,0
Sarimi,Sarimi Kaldu Ayam,bungkus,kuah,70,320,12,45,7,6,0,0,0,0,2,11,670,0
Sarimi,Sarimi Isi 2 Kari Spesial,bungkus,kuah,115,540,24,70,10,12,0,0,0,0,10,1,1330,0
Sarimi,Sarimi Ayam,bungkus,kuah,75,350,16,46,7,8,0,0,0,0,9,2,880,0
Sarimi,Sarimi Isi 2 Soto Koya Jeruk Nipis,bungkus,kuah,112,520,21,73,10,11,0,0,0,0,5,7,1560,0
Gaga,Gaga Kuah Jalapeno,bungkus,kuah,75,330,13,43,9,0,0,0,0,0,0,2,1320,0
Gaga,Gaga 100 Jalapeno,bungkus,goreng,85,380,14,54,8,0,0,0,0,0,0,6,1140,0
Gaga,Gaga 100 Kuah Soto,bungkus,kuah,75,330,13,45,9,0,0,0,0,0,0,1,1240,0
Gaga,Gaga 100 Lada Hitam,bungkus,goreng,85,390,16,53,9,0,0,0,0,0,0,6,1150,0
Gaga,Gaga 100 Goreng Chipotle,bungkus,goreng,85,370,14,52,9,0,0,0,0,0,0,6,1010,0
Lemonilo,Lemonilo Pedas Korea,bungkus,goreng,85,300,4.5,57,9,2,0,0,0,0,2,4,720,45
Lemonilo,Lemonilo Goreng Original,bungkus,goreng,80,320,7,58,7,3,0,0,0,0,4,5,640,0
Lemonilo,Lemonilo Ayam Bawang,bungkus,kuah,70,280,8,44,7,4,0,0,0,0,3,4,1270,0
Lemonilo,Lemonilo Goreng Rendang,bungkus,goreng,77,290,5,54,8,2.5,0,0,0,0,3,3,640,462
Lemonilo,Lemonilo Kari Ayam,bungkus,kuah,73,300,5,54,8,2,0,0,0,0,3,4,970,0
Richeese,Richeese Ramen Keju,bungkus,kuah,65,260,10,36,6,5,0,0,0,0,0,2,1220,0
Richeese,Richeese Goreng Keju Pedas,bungkus,goreng,69,330,15,40,7,7,0,0,0,0,0,2,970,0
Bihunku,Bihunku Soto,bungkus,kuah,55,210,6,39,2,2.5,0,0,0,0,0,1,1430,0
Bihunku,Bihunku Ayam Bawang,bungkus,kuah,55,200,3.5,39,2,0,0,0,0,0,0,1,690,0
Bihunku,Bihunku Goreng Spesial,bungkus,goreng,60,230,4,47,2,0,0,0,0,0,0,6,770,0
Bihunku,Bihunku Asam Pedas,bungkus,kuah,55,210,5,40,2,1.5,0,0,0,0,0,3,910,0
Bihunku,Bihunku Kari Laksa,bungkus,kuah,55,210,3,44,1,2,0,0,0,0,0,2,600,0
Bihunku,Bihunku Spicy Kimchi,bungkus,goreng,55,200,2.5,42,2,1.5,0,0,0,0,0,4,1300,0
ABC,ABC Gulai Ayam,bungkus,kuah,70,320,13,44,7,6,0,0,0,0,2,1,1190,0
ABC,ABC Ayam Bawang,bungkus,kuah,65,300,13,40,6,6,0,0,0,0,0,1,1320,0
ABC,ABC Sapi Pedas,bungkus,goreng,80,400,21,45,8,11,0,0,0,0,6,3,1230,0
ABC,ABC Semur Ayam Pedas,bungkus,kuah,70,320,13,44,6,6,0,0,0,0,3,3,1340,0
ABC,ABC Goreng Spesial,cup,goreng,80,380,20,45,6,9,0,0,0,0,4,7,930,0
ABC,ABC Ayam Pedas Limau,bungkus,goreng,85,390,14,58,8,7,0,0,0,0,0,4,640,0
